文本编号,段落平均长度-DESPL-04,段落平均长度标准差-DESPLd-05,年级
1.txt,7.0,0.0,1
10.txt,8.5,0.707000017,1
100.txt,8.5,0.707000017,1
11.txt,8.0,4.243000031,1
12.txt,10.0,2.828000069,1
13.txt,7.5,2.121000051,1
14.txt,7.0,2.828000069,1
15.txt,8.0,1.414000034,1
16.txt,5.5,0.707000017,1
17.txt,6.5,2.121000051,1
18.txt,6.0,2.828000069,1
19.txt,7.0,1.414000034,1
2.txt,7.5,2.121000051,1
20.txt,7.5,2.121000051,1
21.txt,7.5,0.707000017,1
22.txt,9.0,2.828000069,1
23.txt,8.0,0.0,1
24.txt,10.0,1.414000034,1
25.txt,6.5,2.121000051,1
26.txt,6.5,0.707000017,1
27.txt,6.0,2.828000069,1
28.txt,8.5,3.536000013,1
29.txt,7.0,2.828000069,1
3.txt,8.5,2.121000051,1
30.txt,4.0,0.0,1
31.txt,6.0,1.414000034,1
32.txt,7.0,1.414000034,1
33.txt,7.0,2.828000069,1
34.txt,6.0,0.0,1
35.txt,7.5,2.121000051,1
36.txt,6.5,3.536000013,1
37.txt,8.0,0.0,1
38.txt,8.0,2.828000069,1
39.txt,8.5,2.121000051,1
4.txt,5.0,1.414000034,1
40.txt,9.5,0.707000017,1
41.txt,6.5,0.707000017,1
42.txt,6.5,2.121000051,1
43.txt,4.5,0.707000017,1
44.txt,8.0,2.828000069,1
45.txt,5.5,0.707000017,1
46.txt,7.0,0.0,1
47.txt,9.0,0.0,1
48.txt,6.5,2.121000051,1
49.txt,6.0,2.828000069,1
5.txt,6.5,0.707000017,1
50.txt,5.5,2.121000051,1
51.txt,7.5,3.536000013,1
52.txt,7.0,1.414000034,1
53.txt,6.0,0.0,1
54.txt,5.5,0.707000017,1
55.txt,11.0,5.657000065,1
56.txt,6.0,0.0,1
57.txt,8.0,1.414000034,1
58.txt,5.0,0.0,1
59.txt,10.0,1.414000034,1
6.txt,6.5,4.949999809,1
60.txt,6.0,2.828000069,1
61.txt,7.0,2.828000069,1
62.txt,6.5,2.121000051,1
63.txt,5.0,0.0,1
64.txt,7.5,0.707000017,1
65.txt,10.0,1.414000034,1
66.txt,8.0,1.414000034,1
67.txt,11.5,0.707000017,1
68.txt,10.0,4.243000031,1
69.txt,7.0,2.828000069,1
7.txt,5.0,0.0,1
70.txt,7.0,1.414000034,1
71.txt,6.5,2.121000051,1
72.txt,10.5,0.707000017,1
73.txt,7.0,0.0,1
74.txt,7.0,4.243000031,1
75.txt,8.5,0.707000017,1
76.txt,7.5,0.707000017,1
77.txt,7.0,0.0,1
78.txt,9.0,1.414000034,1
79.txt,6.5,0.707000017,1
8.txt,7.5,3.536000013,1
80.txt,4.5,2.121000051,1
81.txt,7.5,2.121000051,1
82.txt,9.0,1.414000034,1
83.txt,7.5,0.707000017,1
84.txt,7.5,2.121000051,1
85.txt,11.5,0.707000017,1
86.txt,8.5,0.707000017,1
87.txt,9.0,0.0,1
88.txt,5.0,4.243000031,1
89.txt,7.5,0.707000017,1
9.txt,7.0,4.243000031,1
90.txt,8.0,2.828000069,1
91.txt,7.0,1.414000034,1
92.txt,10.0,4.243000031,1
93.txt,10.0,1.414000034,1
94.txt,4.5,0.707000017,1
95.txt,7.5,0.707000017,1
96.txt,10.0,1.414000034,1
97.txt,7.5,3.536000013,1
98.txt,6.5,2.121000051,1
99.txt,8.0,1.414000034,1
1.txt,6.0,0.0,2
10.txt,7.0,4.243000031,2
100.txt,9.0,4.243000031,2
11.txt,7.0,1.414000034,2
12.txt,6.0,4.243000031,2
13.txt,6.0,1.414000034,2
14.txt,7.5,3.536000013,2
15.txt,7.0,2.828000069,2
16.txt,8.5,4.949999809,2
17.txt,6.0,1.414000034,2
18.txt,8.0,2.828000069,2
19.txt,7.0,2.828000069,2
2.txt,6.5,2.121000051,2
20.txt,8.0,1.414000034,2
21.txt,8.0,2.828000069,2
22.txt,6.0,1.414000034,2
23.txt,7.0,5.657000065,2
24.txt,6.0,1.414000034,2
25.txt,6.0,1.414000034,2
26.txt,5.5,3.536000013,2
27.txt,7.5,4.949999809,2
28.txt,6.0,0.0,2
29.txt,6.5,0.707000017,2
3.txt,6.5,2.121000051,2
30.txt,4.5,0.707000017,2
31.txt,4.0,1.414000034,2
32.txt,4.0,1.414000034,2
33.txt,6.5,2.121000051,2
34.txt,6.5,0.707000017,2
35.txt,6.0,1.414000034,2
36.txt,7.0,2.828000069,2
37.txt,6.0,4.243000031,2
38.txt,6.5,3.536000013,2
39.txt,6.0,1.414000034,2
4.txt,5.0,1.414000034,2
40.txt,5.5,3.536000013,2
41.txt,10.5,4.949999809,2
42.txt,8.5,3.536000013,2
43.txt,9.0,7.071000099,2
44.txt,6.5,2.121000051,2
45.txt,8.5,6.363999844,2
46.txt,5.0,2.828000069,2
47.txt,8.5,6.363999844,2
48.txt,8.0,1.414000034,2
49.txt,8.5,3.536000013,2
5.txt,5.5,2.121000051,2
50.txt,9.0,5.657000065,2
51.txt,6.0,4.243000031,2
52.txt,4.5,2.121000051,2
53.txt,5.0,1.414000034,2
54.txt,6.5,0.707000017,2
55.txt,7.5,3.536000013,2
56.txt,6.5,3.536000013,2
57.txt,7.0,2.828000069,2
58.txt,6.0,0.0,2
59.txt,6.5,2.121000051,2
6.txt,5.5,2.121000051,2
60.txt,4.5,0.707000017,2
61.txt,9.0,2.828000069,2
62.txt,6.5,3.536000013,2
63.txt,6.5,0.707000017,2
64.txt,5.0,1.414000034,2
65.txt,8.0,5.657000065,2
66.txt,4.0,2.828000069,2
67.txt,5.0,1.414000034,2
68.txt,7.0,2.828000069,2
69.txt,4.5,0.707000017,2
7.txt,5.0,2.828000069,2
70.txt,5.5,0.707000017,2
71.txt,8.5,3.536000013,2
72.txt,7.5,3.536000013,2
73.txt,10.0,4.243000031,2
74.txt,9.0,2.828000069,2
75.txt,9.0,4.243000031,2
76.txt,6.5,0.707000017,2
77.txt,6.0,4.243000031,2
78.txt,4.0,2.828000069,2
79.txt,6.0,1.414000034,2
8.txt,6.5,3.536000013,2
80.txt,5.5,0.707000017,2
81.txt,10.0,2.828000069,2
82.txt,6.0,2.828000069,2
83.txt,10.0,5.657000065,2
84.txt,6.0,1.414000034,2
85.txt,6.5,0.707000017,2
86.txt,5.0,1.414000034,2
87.txt,7.0,0.0,2
88.txt,7.5,2.121000051,2
89.txt,8.5,3.536000013,2
9.txt,5.0,1.414000034,2
90.txt,8.5,3.536000013,2
91.txt,5.0,0.0,2
92.txt,6.0,1.414000034,2
93.txt,7.5,3.536000013,2
94.txt,8.0,1.414000034,2
95.txt,6.5,2.121000051,2
96.txt,9.0,1.414000034,2
97.txt,7.5,0.707000017,2
98.txt,5.0,0.0,2
99.txt,5.5,2.121000051,2
1.txt,5.0,0.0,3
10.txt,9.0,1.414000034,3
100.txt,9.0,4.243000031,3
11.txt,6.5,0.707000017,3
12.txt,6.0,1.414000034,3
13.txt,9.0,1.414000034,3
14.txt,7.5,2.121000051,3
15.txt,6.0,1.414000034,3
16.txt,6.0,0.0,3
17.txt,5.5,0.707000017,3
18.txt,5.5,0.707000017,3
19.txt,5.5,0.707000017,3
2.txt,6.5,0.707000017,3
20.txt,6.5,0.707000017,3
21.txt,7.0,1.414000034,3
22.txt,5.0,0.0,3
23.txt,7.0,0.0,3
24.txt,7.5,2.121000051,3
25.txt,5.5,0.707000017,3
26.txt,7.5,0.707000017,3
27.txt,5.0,1.414000034,3
28.txt,4.5,2.121000051,3
29.txt,5.0,0.0,3
3.txt,6.0,0.0,3
30.txt,7.0,0.0,3
31.txt,5.5,0.707000017,3
32.txt,6.5,0.707000017,3
33.txt,5.5,0.707000017,3
34.txt,6.0,0.0,3
35.txt,6.0,2.828000069,3
36.txt,9.0,2.828000069,3
37.txt,6.5,2.121000051,3
38.txt,6.0,1.414000034,3
39.txt,5.5,2.121000051,3
4.txt,7.5,0.707000017,3
40.txt,4.5,0.707000017,3
41.txt,7.5,2.121000051,3
42.txt,9.0,1.414000034,3
43.txt,9.5,0.707000017,3
44.txt,6.5,0.707000017,3
45.txt,7.0,1.414000034,3
46.txt,7.0,1.414000034,3
47.txt,6.0,1.414000034,3
48.txt,5.0,1.414000034,3
49.txt,8.0,1.414000034,3
5.txt,8.0,1.414000034,3
50.txt,7.0,2.828000069,3
51.txt,7.5,2.121000051,3
52.txt,8.0,2.828000069,3
53.txt,8.0,1.414000034,3
54.txt,7.5,0.707000017,3
55.txt,8.5,2.121000051,3
56.txt,7.5,2.121000051,3
57.txt,6.5,0.707000017,3
58.txt,8.0,2.828000069,3
59.txt,8.0,1.414000034,3
6.txt,8.5,2.121000051,3
60.txt,7.5,2.121000051,3
61.txt,6.5,2.121000051,3
62.txt,5.0,1.414000034,3
63.txt,8.5,0.707000017,3
64.txt,8.0,1.414000034,3
65.txt,10.5,0.707000017,3
66.txt,10.0,1.414000034,3
67.txt,5.5,2.121000051,3
68.txt,7.0,0.0,3
69.txt,7.0,0.0,3
7.txt,5.0,0.0,3
70.txt,7.5,2.121000051,3
71.txt,5.5,0.707000017,3
72.txt,7.5,2.121000051,3
73.txt,5.5,0.707000017,3
74.txt,6.5,0.707000017,3
75.txt,7.0,4.243000031,3
76.txt,7.0,1.414000034,3
77.txt,6.5,2.121000051,3
78.txt,6.0,1.414000034,3
79.txt,7.5,0.707000017,3
8.txt,8.0,0.0,3
80.txt,6.5,0.707000017,3
81.txt,6.0,1.414000034,3
82.txt,8.0,0.0,3
83.txt,5.5,2.121000051,3
84.txt,7.0,1.414000034,3
85.txt,10.0,2.828000069,3
86.txt,7.0,1.414000034,3
87.txt,8.5,3.536000013,3
88.txt,8.0,5.657000065,3
89.txt,7.5,3.536000013,3
9.txt,7.0,1.414000034,3
90.txt,5.0,0.0,3
91.txt,4.5,0.707000017,3
92.txt,5.5,2.121000051,3
93.txt,11.0,2.828000069,3
94.txt,8.0,2.828000069,3
95.txt,7.0,2.828000069,3
96.txt,6.5,0.707000017,3
97.txt,6.0,1.414000034,3
98.txt,7.0,1.414000034,3
99.txt,5.5,0.707000017,3
