feature,importance,correlation,p_value,composite_score
复杂度-K,0.1577429253466246,-0.40066346079928605,5.383922719006074e-13,0.2549111395276892
密度-WRDFRQC（94）,0.11061566945460372,-0.39594684694181903,1.0593154422993306e-12,0.22474814044948985
短语长度-PhraseLength,0.06141225277216083,0.29579551369376206,1.7970279377517416e-07,0.15516555714080132
单词数量-DESWC-03,0.1062817539254273,0.20706418654070646,0.0003053792099103218,0.14659472697153897
句子长度-DESSL（06）,0.05597698212118211,0.2561135099822849,7.034157666793355e-06,0.13603159326562322
因果衔接-SMCAUSr-64,0.05388109775271987,-0.1745519666401154,0.0024130790410838423,0.10214944530767808
句法相似-SYNSTRUT,0.03581827952041645,-0.20009249214646713,0.0004892762688814151,0.10152796457083672
句子结构-SentenceStructure,0.0637462863770348,0.10399520066153255,0.07208041681699967,0.0798458520908339
时体衔接-SMTEMP-68,0.05594757189776027,0.10000036363318301,0.08377989932672053,0.07356868859192937
意图衔接-SMINTEr-65,0.03617641114517175,0.12463753180681589,0.030912641406281027,0.0715608594098294
整体连贯-GlobalCoherence,0.04254692399045609,0.10889112953341983,0.059594581939050685,0.06908460620764159
句子数量-DESSC-02,0.018988413369750497,-0.1212387257387181,0.03582587712168829,0.05988853831733754
段落平均长度-DESPL-04,0.0191308047709466,-0.116053436157176,0.044589715747796896,0.05789985732543836
短语密度-PhraseDensity,0.04688967509006005,-0.07332709483122879,0.20534629765752987,0.057464642986527543
段落平均长度标准差-DESPLd-05,0.030051983490696817,-0.09598944520133262,0.09701927014026669,0.056426968174951145
局部连贯-LocalCoherence,0.048278276921206224,0.058477543351512846,0.3127365694467683,0.052357983493328875
多样性-LDVOCDa（51）,0.056514692053781894,0.02543710790300841,0.6607953342127699,0.0440836583934725
