维度,F统计量,p值,效应量(η²),效应大小,显著性,主维度
单词数量-DESWC-03,25.1114805906755,8.39421140243922e-11,0.144641820375237,大效应,显著,单词数量
句子数量-DESSC-02,5.03348874075715,0.0070829678361036,0.0327843051183203,中等效应,显著,句子数量
多样性-LDVOCDa（51）,2.25096208128121,0.107091410288219,0.0149316598063736,中等效应,不显著,多样性
密度-WRDFRQC（94）,27.9468808881556,7.57184137351575e-12,0.158386936326013,大效应,显著,密度
复杂度-K,28.4671149886214,4.89025602144082e-12,0.160861044666134,大效应,显著,复杂度
句子长度-DESSL（06）,17.8592758174546,4.7412813283075e-08,0.107353652086413,大效应,显著,句子长度
短语长度-PhraseLength,16.0271092172239,2.45535618515971e-07,0.0974131818973579,大效应,显著,短语长度
短语密度-PhraseDensity,1.31729990004008,0.269417910583181,0.00879270885885035,小效应,不显著,短语密度
句子结构-SentenceStructure,1.87605539185796,0.155004084245936,0.0124757587700332,中等效应,不显著,句子结构
句法相似-SYNSTRUT,6.32267236463807,0.00204619155418521,0.0408381554721323,中等效应,显著,句法相似
局部连贯-LocalCoherence,0.536661288918459,0.585263032880417,0.00360086762731559,小效应,不显著,局部连贯
整体连贯-GlobalCoherence,3.7953039862251,0.0235738936388257,0.0249206895215127,中等效应,显著,整体连贯
因果衔接-SMCAUSr-64,6.19337883261174,0.00231647242172783,0.0400364830049602,中等效应,显著,因果衔接
意图衔接-SMINTEr-65,2.62161027806157,0.0743673559870713,0.0173476862325503,中等效应,不显著,意图衔接
时体衔接-SMTEMP-68,2.59385638345391,0.0764236356386393,0.017167186314122,中等效应,不显著,时体衔接
段落平均长度-DESPL-04,5.46541591338538,0.00466698291173312,0.0354976855091925,中等效应,显著,段落平均长度
